,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,Overall
Seg_size,4080.0,1134.0,254.0,3481.0,1073.0,3248.0,780.0,30.0,3818.0,8949.0
Seg_Pct,0.46,0.13,0.03,0.39,0.12,0.36,0.09,0.0,0.43,1.0
Installment_Purchases,0.18,0.1,0.04,0.4,0.11,0.5,0.02,0.07,0.13,0.25
None_Of_the_Purchases,0.38,0.45,0.0,0.0,0.45,0.0,0.0,0.0,0.41,0.23
One_Of_Purchase,0.33,0.21,0.1,0.08,0.21,0.07,0.09,0.1,0.35,0.21
BALANCE,1106.62,4542.9,4046.21,950.19,4585.83,668.04,2646.31,5567.14,1225.91,1564.65
BALANCE_FREQUENCY,0.8,0.96,0.98,0.93,0.96,0.89,0.98,0.96,0.82,0.88
PURCHASES,268.21,541.63,9765.34,1375.98,510.23,920.74,4720.19,24957.91,264.57,1003.32
ONEOFF_PURCHASES,209.22,343.4,6673.72,679.16,318.28,358.28,3075.92,18186.88,223.22,592.5
INSTALLMENTS_PURCHASES,59.33,198.32,3091.62,697.16,192.05,562.8,1645.04,6771.03,41.58,411.11
CASH_ADVANCE,585.82,4860.11,637.62,200.3,5003.39,157.75,439.39,1858.84,649.87,978.96
PURCHASES_FREQUENCY,0.18,0.3,0.94,0.89,0.29,0.84,0.94,0.91,0.16,0.49
ONEOFF_PURCHASES_FREQUENCY,0.09,0.15,0.76,0.31,0.14,0.22,0.71,0.77,0.1,0.2
PURCHASES_INSTALLMENTS_FREQUENCY,0.09,0.19,0.76,0.72,0.19,0.69,0.74,0.75,0.06,0.36
CASH_ADVANCE_FREQUENCY,0.12,0.49,0.07,0.04,0.49,0.04,0.07,0.08,0.13,0.14
CASH_ADVANCE_TRX,2.27,14.67,1.9,0.78,14.94,0.65,1.46,3.67,2.54,3.25
PURCHASES_TRX,3.07,8.25,99.57,24.27,7.93,17.94,63.43,148.0,2.87,14.71
CREDIT_LIMIT,3291.95,7511.07,10427.36,4488.24,7568.55,3857.14,8246.99,15570.0,3319.02,4494.45
PAYMENTS,954.17,3754.75,9022.8,1456.18,3807.87,1056.47,4433.83,25178.88,990.2,1733.34
MINIMUM_PAYMENTS,644.08,1895.1,2293.37,632.73,1928.05,505.12,1391.49,3475.06,697.46,845.0
PRC_FULL_PAYMENT,0.07,0.04,0.31,0.28,0.04,0.29,0.28,0.48,0.05,0.15
TENURE,11.46,11.3,11.94,11.63,11.3,11.56,11.91,11.93,11.46,11.52
MONTHLY_AVG_PURCHASES,23.92,48.71,820.29,117.81,46.14,79.64,397.48,2094.59,23.63,86.18
AVG_CASH_ADVANCE,53.64,442.96,55.61,17.53,456.25,14.2,37.62,154.9,59.37,88.98
Limit_Usage,0.42,0.63,0.4,0.27,0.63,0.24,0.34,0.39,0.46,0.39
Pay_to_MinimumPay,8.2,5.41,16.18,10.74,5.53,11.73,12.21,25.22,7.01,9.06
