K4 Cluster 1,K4 Cluster 2,K4 Cluster 3,K4 Cluster 4,K5 Cluster 1,K5 Cluster 2,K5 Cluster 3,K5 Cluster 4,K5 Cluster 5,Overall
4080.0,1134.0,254.0,3481.0,1073.0,3248.0,780.0,30.0,3818.0,8949.0
0.455917,0.126718,0.028383,0.388982,0.119902,0.362946,0.087161,0.003352,0.42664,1.0
0.180637,0.103175,0.035433,0.401321,0.105312,0.497537,0.023077,0.066667,0.13384,0.252542
0.37549,0.448854,0.0,0.0,0.449208,0.0,0.0,0.0,0.408329,0.22807
0.327451,0.21164,0.098425,0.078426,0.20876,0.069273,0.094872,0.1,0.353064,0.209409
1106.624986,4542.902787,4046.210995,950.190178,4585.833917,668.038082,2646.309946,5567.142164,1225.905658,1564.647593
0.801298,0.961876,0.984082,0.931165,0.960927,0.892737,0.98214,0.957273,0.818736,0.87735
268.213414,541.627628,9765.340236,1375.975404,510.23384,920.741438,4720.194897,24957.905,264.574382,1003.316936
209.217733,343.399594,6673.72437,679.162594,318.277987,358.283787,3075.924603,18186.875667,223.223937,592.503572
59.32913,198.31769,3091.615866,697.164573,192.050606,562.80303,1645.039526,6771.029333,41.576524,411.113579
585.817361,4860.109536,637.624213,200.302788,5003.391108,157.746907,439.39498,1858.844605,649.873119,978.959616
0.178564,0.2957,0.936883,0.886757,0.294823,0.835306,0.940305,0.910556,0.156748,0.490405
0.090526,0.146485,0.761531,0.311149,0.140819,0.217872,0.712005,0.773889,0.098132,0.20248
0.085359,0.19075,0.761411,0.719259,0.190818,0.689006,0.735534,0.754444,0.058335,0.364478
0.121176,0.488064,0.066929,0.041515,0.491533,0.035089,0.065122,0.083333,0.134807,0.135141
2.269853,14.66843,1.901575,0.775065,14.940354,0.64686,1.457692,3.666667,2.539811,3.249078
3.068382,8.252205,99.570866,24.270325,7.931034,17.935961,63.430769,148.0,2.873494,14.711476
3291.949346,7511.071028,10427.362205,4488.241957,7568.550369,3857.143961,8246.987179,15570.0,3319.02043,4494.44945
954.16827,3754.745798,9022.795872,1456.176389,3807.870653,1056.47488,4433.834686,25178.88269,990.203059,1733.336511
644.082143,1895.101032,2293.37233,632.725874,1928.053101,505.118404,1391.490714,3475.059479,697.458083,845.003358
0.06902,0.040946,0.310001,0.27836,0.041244,0.286041,0.275032,0.478409,0.045456,0.153732
11.456127,11.302469,11.940945,11.629704,11.296365,11.563116,11.912821,11.933333,11.457831,11.517935
23.918537,48.708372,820.291078,117.808371,46.138778,79.635722,397.479664,2094.593383,23.633348,86.184802
53.642893,442.961347,55.609205,17.528269,456.246036,14.196478,37.61972,154.903717,59.36856,88.984447
0.424776,0.633578,0.396603,0.266648,0.632107,0.238067,0.338388,0.391508,0.459225,0.388926
8.196323,5.413539,16.183057,10.740687,5.525342,11.73213,12.210327,25.218608,7.009826,9.060094
